时刻k	输出y	控制增量ud		各项估计参数θ(1~?)
46	53.909	4.051		0.0034	0.0639	0.0763	-0.2392	2.3841	0.6383	-0.7775	0.2819	0.0015	
47	33.180	6.350		0.0033	0.0652	0.0715	-0.2432	2.3881	0.6311	-0.7729	0.2808	0.0015	
48	10.393	7.082		0.0034	0.0633	0.0743	-0.2372	2.3968	0.6286	-0.7668	0.2782	0.0015	
49	-6.533	5.112		0.0034	0.0634	0.0742	-0.2373	2.3968	0.6286	-0.7667	0.2782	0.0015	
50	-11.971	1.557		0.0034	0.0646	0.0703	-0.2416	2.3969	0.6245	-0.7653	0.2781	0.0015	
51	-3.589	-2.508		0.0031	0.0570	0.0850	-0.2143	2.4287	0.6209	-0.7458	0.2692	0.0012	
52	15.241	-5.341		0.0029	0.0511	0.0981	-0.1939	2.4461	0.6241	-0.7370	0.2645	0.0009	
53	38.545	-6.629		0.0027	0.0541	0.0879	-0.2029	2.4528	0.6102	-0.7288	0.2627	0.0007	
54	60.168	-6.581		0.0030	0.0475	0.1004	-0.1815	2.4751	0.6090	-0.7147	0.2558	0.0009	
55	73.923	-4.539		0.0030	0.0484	0.0967	-0.1849	2.4773	0.6039	-0.7116	0.2551	0.0009	
56	75.823	-1.396		0.0029	0.0448	0.1042	-0.1720	2.4906	0.6036	-0.7035	0.2511	0.0010	
57	64.477	2.531		0.0028	0.0411	0.1120	-0.1598	2.5008	0.6053	-0.6978	0.2480	0.0010	
58	42.266	6.048		0.0029	0.0398	0.1134	-0.1555	2.5091	0.6017	-0.6915	0.2454	0.0010	
59	15.460	7.801		0.0029	0.0398	0.1134	-0.1555	2.5091	0.6017	-0.6915	0.2454	0.0010	
60	-7.427	5.167		0.0028	0.0399	0.1130	-0.1559	2.5092	0.6013	-0.6914	0.2454	0.0010	
61	-20.888	3.162		0.0029	0.0381	0.1174	-0.1498	2.5128	0.6035	-0.6900	0.2444	0.0010	
62	-21.714	-0.036		0.0028	0.0353	0.1220	-0.1403	2.5256	0.6007	-0.6819	0.2410	0.0008	
63	-10.343	-3.376		0.0028	0.0351	0.1222	-0.1394	2.5279	0.5997	-0.6804	0.2405	0.0007	
64	10.256	-6.345		0.0028	0.0351	0.1221	-0.1394	2.5278	0.5997	-0.6804	0.2405	0.0007	
65	33.503	-7.337		0.0029	0.0356	0.1203	-0.1412	2.5288	0.5972	-0.6789	0.2401	0.0007	
66	52.195	-6.327		0.0028	0.0357	0.1191	-0.1413	2.5324	0.5939	-0.6757	0.2391	0.0007	
67	60.782	-3.757		0.0028	0.0358	0.1187	-0.1416	2.5326	0.5934	-0.6755	0.2391	0.0007	
68	56.191	-0.075		0.0028	0.0338	0.1237	-0.1348	2.5364	0.5961	-0.6740	0.2379	0.0007	
69	39.147	3.626		0.0027	0.0279	0.1353	-0.1152	2.5559	0.5960	-0.6622	0.2319	0.0008	
70	14.152	6.398		0.0028	0.0231	0.1455	-0.0992	2.5699	0.5978	-0.6542	0.2277	0.0008	
71	-11.764	7.414		0.0029	0.0178	0.1565	-0.0817	2.5856	0.5994	-0.6454	0.2230	0.0008	
72	-32.186	6.849		0.0029	0.0139	0.1636	-0.0690	2.5997	0.5982	-0.6368	0.2190	0.0007	
73	-41.257	4.064		0.0030	0.0159	0.1571	-0.0759	2.6009	0.5910	-0.6338	0.2187	0.0006	
74	-35.739	0.175		0.0029	0.0085	0.1723	-0.0507	2.6253	0.5914	-0.6189	0.2111	0.0008	
75	-15.935	-4.340		0.0030	0.0034	0.1821	-0.0338	2.6429	0.5905	-0.6078	0.2056	0.0009	
76	12.861	-7.741		0.0030	0.0012	0.1857	-0.0268	2.6517	0.5887	-0.6017	0.2028	0.0010	
77	42.756	-9.274		0.0031	-0.0005	0.1896	-0.0214	2.6548	0.5908	-0.6005	0.2018	0.0010	
78	64.157	-7.696		0.0032	-0.0017	0.1902	-0.0175	2.6645	0.5855	-0.5930	0.1990	0.0010	
79	69.451	-3.557		0.0032	-0.0018	0.1905	-0.0171	2.6647	0.5857	-0.5930	0.1990	0.0010	
